Name,Hit end,Hit start,Query,Query coverage,Query end,Query start,Sequence Length
15_0a4edc1b-684e-4ecd-85cc-585ceb91f5b9,52456,52549,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,0.96%,94,1,52993
15_0a4edc1b-684e-4ecd-85cc-585ceb91f5b9,52456,52601,LmxM.19_left_10kb - bases 201 - 10000,1.49%,146,1,52993
15_0a724e0c-61e0-4c5d-9079-4d8e105e0811,730,644,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,0.93%,91,1,5765
15_0a26067a-4d1a-42f1-a27f-a9d75563da22,67197,76884,LmxM.12 (reversed)_right_10kb - bases 201 - 10000,99.92%,9800,9,77395
15_0a26067a-4d1a-42f1-a27f-a9d75563da22,16697,18491,LmxM.12 (reversed)_right_10kb - bases 201 - 10000,18.59%,7836,6015,77395
15_0a26067a-4d1a-42f1-a27f-a9d75563da22,31684,32914,LmxM.12 (reversed)_right_10kb - bases 201 - 10000,12.80%,7253,6000,77395
15_0b42f963-bc0e-4179-b1be-eb8ad0f387c3,7054,7476,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,4.35%,2670,2245,33772
15_0b873df6-123a-42b7-8ac8-9df328e62b79,5670,451,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,54.59%,5352,3,5673
15_0c8cc661-81c2-4b55-afd6-2e16b021f8b5,623,426,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,2.02%,198,1,18998
15_0c93ffbc-244e-421e-8f82-f7ff5629eba6,1964,1731,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,2.39%,234,1,2372
15_0c93ffbc-244e-421e-8f82-f7ff5629eba6,1932,1806,LmxM.15 (reversed)_right_10kb - bases 201 - 10000,1.30%,127,1,2372
15_0c495fd0-4a8b-46ea-a55a-75bc28e12617,10836,1193,LmxM.24_left_10kb - bases 201 - 10000,99.73%,9800,27,12111
15_0c0499a0-5224-4dcd-a65c-fd9af36f68e8,3026,572,LmxM.31 (reversed)_right_10kb - bases 201 - 10000,25.11%,2461,1,3072
15_0d20f94c-b1c5-4e26-8319-77167b81dfb6,12221,12390,LmxM.03 (reversed)_right_10kb - bases 201 - 10000,1.77%,174,2,12846
15_0d20f94c-b1c5-4e26-8319-77167b81dfb6,12233,12461,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,2.39%,234,1,12846
15_0df38233-c9c4-430e-b7c7-79ae0b0e32bf,11327,11417,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,0.93%,91,1,14873
15_0df38233-c9c4-430e-b7c7-79ae0b0e32bf,11327,11525,LmxM.27_left_10kb - bases 201 - 10000,2.03%,199,1,14873
15_0df38233-c9c4-430e-b7c7-79ae0b0e32bf,11327,11492,LmxM.03 (reversed)_right_10kb - bases 201 - 10000,1.68%,172,8,14873
