Name,Hit end,Hit start,Query,Query coverage,Query end,Query start,Sequence Length,Barcode,Read,Chromosome,Overhang,Sample,ValueToSubtract,AdjustedOverhang
15_0a26067a-4d1a-42f1-a27f-a9d75563da22,67197,76884,LmxM.12 (reversed)_right_10kb - bases 201 - 10000,99.92,9800,9,77395,15,15_0a26067a-4d1a-42f1-a27f-a9d75563da22,12R,511.0,WT,133,378.0
15_0b873df6-123a-42b7-8ac8-9df328e62b79,5670,451,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,54.59,5352,3,5673,15,15_0b873df6-123a-42b7-8ac8-9df328e62b79,23R,451.0,WT,186,265.0
15_0c495fd0-4a8b-46ea-a55a-75bc28e12617,10836,1193,LmxM.24_left_10kb - bases 201 - 10000,99.73,9800,27,12111,15,15_0c495fd0-4a8b-46ea-a55a-75bc28e12617,24L,1193.0,WT,148,1045.0
15_0e9ac2db-51e4-45ec-9445-4b541f85d8bd,3196,8509,LmxM.27_left_10kb - bases 201 - 10000,54.46,5337,1,9109,15,15_0e9ac2db-51e4-45ec-9445-4b541f85d8bd,27L,600.0,WT,148,452.0
15_0e75fa33-54de-4088-88e8-593b78c12155,10809,1247,LmxM.31 (reversed)_right_10kb - bases 201 - 10000,99.96,9796,1,12154,15,15_0e75fa33-54de-4088-88e8-593b78c12155,31R,1247.0,WT,95,1152.0
15_0e730b5e-371a-4b3a-8e01-274067342f33,10617,20362,LmxM.28_left_10kb - bases 201 - 10000,100.0,9800,1,28201,15,15_0e730b5e-371a-4b3a-8e01-274067342f33,28L,7839.0,WT,122,7717.0
15_00ecaa19-3182-492e-8b1f-552b884e6893,12579,22305,LmxM.24_left_10kb - bases 201 - 10000,100.0,9800,1,41177,15,15_00ecaa19-3182-492e-8b1f-552b884e6893,24L,18872.0,WT,148,18724.0
15_0ee5efb9-586e-4347-9216-31e09144ba07,80,3810,LmxM.23_left_10kb - bases 201 - 10000,38.73,3798,3,4842,15,15_0ee5efb9-586e-4347-9216-31e09144ba07,23L,1032.0,WT,182,850.0
15_0f9b24a0-1d7f-486d-8bf0-566a3c526c1c,8827,18531,LmxM.13_left_10kb - bases 201 - 10000,99.99,9799,1,19118,15,15_0f9b24a0-1d7f-486d-8bf0-566a3c526c1c,13L,587.0,WT,118,469.0
15_0f40b05b-7d14-4a87-b105-ac1d61cdbc82,81,9326,LmxM.24_left_10kb - bases 201 - 10000,95.62,9371,1,20558,15,15_0f40b05b-7d14-4a87-b105-ac1d61cdbc82,24L,11232.0,WT,148,11084.0
15_1a0f225b-d1d7-4fb9-853b-608aaa4add32,5507,13420,LmxM.16 (reversed)_right_10kb - bases 201 - 10000,82.72,8107,1,17465,15,15_1a0f225b-d1d7-4fb9-853b-608aaa4add32,16R,4045.0,WT,168,3877.0
